a_id,a_name,a_country,a_street,a_city,a_prov,a_pcode,a_tel,a_web
6837,Guangdong U. Technology,China,729 East Dongfeng Road,Guangzhou,Guangdong Province,510080,+86(20) 87617779,http://www.gdut.edu.cn
6838,Guangxi Arts Institute,China,7 Jiaoyu Road,Nanning,Guangxi Zhuang Province,530022,+86(711) 5313138,http://www.gxai.edu.cn
6839,Guangxi Medical U.,China,22 Shuangyong Road,Nanning,Guangxi Zhuang Province,530021,+86(771) 5352512  +86(771) 5359031,http://www.gxmu.edu.cn
6840,Guangxi Normal U.,China,15 Yucai Road,Guilin,Guangxi Zhuang Province,541004,+86(773) 5812081,http://www.gxnu.edu.cn
6841,Guangxi Teachers Education U.,China,19 Mingxiu East Road,Nanning,Guangxi Zhuang Province,530001,+86(711) 3126960,http://www.gxtc.edu.cn
6842,Guangxi U.,China,10 Xixiangtang Road,Nanning,Guangxi Zhuang Province,530004,+86(771) 3238638  +86(771) 3821264,http://www.gxu.edu.cn
6843,Guangxi U. Nationalities,China,"188, East Daxue Road",Nanning,Guangxi Zhuang Province,530006,+86(711) 3260111,http://www.gxun.edu.cn
6844,Guangxi U. Finance Economics,China,Ming Xiu Road 100,Nanning,Guangxi,530003,,http://www.gxufe.cn/www/myweb/home.cdi
6845,Guangxi U. Technology,China,268 Donghuan Road,Liuzhou,Guangxi Zhuang Province,5455005,+86(772) 2687357,http://www.admissions.cn/gxut/en7.html
6846,Guangxi U. Traditional Chinese Medicine,China,179 Mingxiu Dong Road,Nanning,Guangxi Zhuang Province,530001,+86(711) 3137401  +86(711) 3148091,http://www.gxtcmu.edu.cn/
6847,Guangzhou Academy Fine Arts,China,257 East Changgang Road,Guangzhou,Guangdong Province,510261,+86(20) 84017740; +86(20) 20) 84429572,http://www.gzarts.edu.cn/english/index.htm
6848,Guangzhou Medical U.,China,"195, Dongfengxi Road",Guangzhou,Guangdong Province,510182,+86(20) 81340481,http://www.gzhmc.edu.cn
6849,Guangzhou Sport U.,China,"1268, Middle Guangzhou Avenue",Guangzhou,Guangdong Province,510500,+86(20) 87553731,http://www.gipe.edu.cn
6850,Guangzhou U.,China,248 Guangyuan Zhonglu,Guangzhou,Guangdong Province,510405,+86(20) 39366230,http://english.gzhu.edu.cn
6851,Guangzhou U. Chinese Medicine,China,12 Jichang Road,Guangzhou,Guangdong Province,510405,+86(20) 86593715,http://www.gzhtcm.edu.cn
6853,Guilan U. Medical Sciences,Iran (Islamic Republic of),Namjoo Avenue,Rasht,,41625,+98(131) 322-1282,http://www.gums.ac.ir
6855,Guildhall School Music Drama,United Kingdom,"Silk Street, Barbican",London,,EC2Y 8DT,+44(20) 7628-2571,http://www.gsmd.ac.uk
6857,Guilford College,United States of America ,5800 West Friendly Avenue,Greensboro, North Carolina,27410,+1(336) 316-2000,http://www.guilford.edu
6858,Guilin Medical U.,China,109 Huancheng Road,Guilin,Guangxi Zhuang Province,541001,+86(773) 2822194,http://www.glmc.edu.cn
6859,Guilin U. Electronic Technology,China,1 Jinji Road,Guilin,Guangxi Zhuang Province,541004,+86 (773) 5841372,http://www.at0086.com/GUETC
6860,Guilin U. Technology,China,12 Jian'gan Road,Guilin,Guangxi Zhuang Province,541004,+86 (773)  5895613,http://www.gutedu.cn
6861,Guimaras State College,Philippines,Mclain,Buenavista,Guimaras,5044,+63(33) 580-8244,http://gsc.edu.ph
6862,Guiyang College Traditional Chinese Medicine,China,1 Shidong Road,Guiyang,Guizhou Province,550002,+86(851) 5928633,
6863,Guiyang Medical U.,China,4 Beijing Road,Guiyang,Guizhou Province,550004,+86(851) 6783850,http://www.gmc.edu.cn
6864,Guiyang U.,China,103 Jianlongdong Road,Guiyang,Guizhou,550005,+86(851) 5400755,http://www.gyu.cn/
6865,Guizhou Minzu U.,China,Huaxi District,Guiyang,Guizhou Province,550025,+86(851) 3610498,http://www.gzmu.edu.cn/
6866,Guizhou Normal College,China,115 Gaoxin RoadWudang DistrictGuiyang,Guiyang,Guizhou,550018,+86(851) 5815957  +86(851) 6205886,http://www.gznc.edu.cn/
6867,Guizhou Normal U.,China,116 BaoshanBeiLu,Guiyang,Guizhou Province,550001,+86(851) 6701140,http://e.gznu.edu.cn/
6868,Guizhou U.,China,Huaxi,Guiyang,Guizhou Province,550025,+86(851) 8292178,http://www.gzu.edu.cn
6869,Guizhou U. Finance Economics,China,"276 Luchongguan Rd., Yunyan District",Guiyang,Guizhou Province,550004,+86(851) 6903811,http://www.gufe.edu.cn/web/english
6870,Gujarat Ayurved U.,India,Chanakya BhavanIrwin Hospital Road,Jamnagar,Gujarat,361008,+91(288) 267-6854,http://www.ayurveduniversity.com
6871,Gujarat Forensic Sciences U.,India,"DFS Head Quarters, Sector 18-ANear Police Bhavan,",Gandhinagar,Gujarat,382007,+91(79) 6573-5502,http://www.gfsu.edu.in/
6872,Gujarat National Law U.,India,"E-4, GIDC Electronics Estate,Sector 26,",Gandhinagar,Gujarat,382 028,+91(79) 2328-7157,http://www.gnlu.ac.in/
6873,Gujarat Technological U.,India,"JACPC Building,Navranpura",Ahmedabad,Gujarat,,+91(79) 2630-0499,http://www.gtu.ac.in
6874,Gujarat U.,India,Navrangpura,Ahmedabad,Gujarat,380009,+91(79) 2630-1341  +91(79) 2630-1342,http://www.gujaratuniversity.org.in
6875,Gujarat Vidyapith,India,Near Income Tax OfficeAshram Road,Ahmedabad,Gujarat,380014,+91(79) 2754-1148 +91(79) 2754-0746,http://www.gujaratvidyapith.org
6876,Gulbarga U.,India,Jnana Ganga,Gulbarga,Karnataka,585106,+91(8472) 245-446,http://www.gulbargauniversity.kar.nic.in
6878,Gulf College Hospitality Tourism,Bahrain,PO Box 22088,Muharraq,,,+973 320-191,
6879,Gulf Medical U.,United Arab Emirates,P.O. Box 4184,Ajman,,,+971(6) 743-1333,http://www.gmu.ac.ae
6880,Gulf U.,Syrian Arab Republic,,Aleppo,,,+963(21) 6221590,http://www.gu-aleppo.net/index.php
6881,Gulf U. Science Technology,Kuwait,P.O. Box 7207,Hawally,,32093,+965 2530-7000,http://www.gust.edu.kw
6882,Gulistan State U.,Uzbekistan,4-mavze,Gulistan,,120100,+998(67) 225-02-75,http://www.guldu.uz
6884,Gulu U.,Uganda,PO Box 166,Gulu,Northern Uganda,,+256(4714) 32095,http://www.gu.ac.ug/
6885,Institute Humanities Ecology,Russian Federation,6-oj Monetcikovskij per. 19,Moskva,,113054,+7(499) 237-32-88 +7(499) 237-35-17,http://www.mgeu.ru/
6887,Humanitarian Institute,Russian Federation,"1-aja Mytiscinskaja, 8d. 23",Moskva,,129626,+7(495) 978-80-67 +7(495) 682-21-73,http://www.huminst.ru/
6888,Humanitarian Institute Television Broadcasting named after M.A.Litovcin,Russian Federation,Brodnikov per. 3,Moskva,,109180,+7(495) 238-5548  +7(495) 238-1975,http://www.gift.ru
6889,Liberal Arts U. Institute,Russian Federation,ul. Studenceskaja 19,Ekaterinburg,Sverdlovskaja oblast',620049,+7(343) 374-5190,http://www.gu.ur.ru
6890,Gumushane U.,Turkey,Baglarbasi Mahallesi,Gumushane,,29100,+90(456) 233-74-25,http://www.gumushane.edu.tr/
6891,Gundersen Lutheran Medical Centre,United States of America ,1900 South Avenue,La Crosse, Wisconsin,54601,+1(608) 782-7300,http://www.gundluth.org
6893,Gunma U.,Japan,4-2 Aramaki-machi,Maebashi-shi,Gunma,371-8510,+81(27) 220-7111  +81(27) 220-7627,http://www.gunma-u.ac.jp
6894,Gunma Prefectural Women's U.,Japan,1395-1 Kaminote Tamamura,Sawa-gun,Gunma,370-1193,+81(270) 65-8511,http://www.gpwu.ac.jp
6895,Gunma Prefectural College Health Sciences,Japan,323-1 KamiokichoMaebashi-shi,Gunma,Gunma,371-0052,+81(27) 235-1211,http://www.gchs.ac.jp
6896,Gunma U. Health Welfare,Japan,191-1  kawamagarimachi,Maebashi-shi,Gunma,371-0823,+81(27) 253-0294,http://www.shoken-gakuen.ac.jp
6897,Graduate School Management GLOBIS U.,Japan,"Sumitomo Fudosan Kojimachi Bldg., 5-1Niban-cho",Chiyoda-ku,Tokyo,102-0084,,http://mba.globis.ac.jp/
6898,Guru Angad Dev Veterinary Animal Sciences U.,India,,Ludhiana,Punjab,141004,+91(161) 255-3342,http://www.gadvasu.in/
6899,Guru Ghasidas Vishwavidyalaya,India,,Bilaspur,Chhattisgarh,495009,+91(7752) 260-209,http://www.ggu.ac.in/
6900,Guru Gobind Singh Indraprastha U.,India,Old Delhi College of Engineering CampusKashmere Gate,New Delhi,,110006,+91(11) 2386-9313,http://www.ipu.ac.in
6901,Guru Jambeshwar U.,India,,Hisar,Haryana,125001,+91(1622) 276-025,http://www.gjust.ac.in/
6902,Guru Nanak Dev U.,India,,Amritsar,Punjab,143005,+91(183) 225-8855,http://www.gndu.ac.in
6903,Gurukul Kangri U.,India,PO Gurukul KangriUttaranchal,Haridwar,Uttar Pradesh,249404,+91(1334) 249-013,http://gkvharidwar.org/
6904,Gustav Siewerth Academy,Germany,Oberbierbronnen 1,Weilheim-Bierbronnen,,79809,+49(7755) 364,http://www.siewerth-akademie.de
6905,Gustavus Adolphus College,United States of America ,800 West College Avenue,Saint Paul, Minnesota,56082,+1(507) 933-8000,http://www.gustavus.edu
6906,Guzman College Science Technology,Philippines,Z.P. De Guzman St. Quiapo,Manila,"First District, Metro Manila",1001,+63(2) 733-9456  +63(2) 733-9458,http://www.guzmancollege.edu.ph
6908,Gwangju Catholic U.,Korea (Republic of),Nampyong-eup,Naju-si,Jeollanam-do,520-710,+82(61) 337-2181  +82(61) 337-2184,http://www.kjcatholic.ac.kr
6909,Gwangju Institute Science Technology,Korea (Republic of),123 Cheomdan-gwagiro (Oryong-dong)Buk-Gu,Gwangju-si,Gyeonggi-do,500-712,+82(62) 970-2003,http://www.gist.ac.kr
6910,Gwangju National U. Education,Korea (Republic of),1-1 Punghyang-dongBuk-gu,Gwangju-si,Gyeonggi-do,500-703,+82(62) 520-4084,http://www.gnue.ac.kr
6911,Gwangju U.,Korea (Republic of),277 Hyodeok-RoNam-Gu,Gwangju-si,Gyeonggi-do,503-703,+82(62) 670-2114,http://www.gwangju.ac.kr
6912,Gwynedd Mercy College,United States of America ,PO Box 9011325 Sumneytown Pike,Gwynedd Valley, Pennsylvania,19437-0901,+1(215) 646-7300,http://www.gmc.edu
6913,Gyeongin National U. Education,Korea (Republic of),45 Gyodae-GilGyeyang-gu,Incheon-si,,407-753,+82(32) 540-1114,http://www.ginue.ac.kr/
6914,Gyeongju U.,Korea (Republic of),Tajong-ro 188,Gyeongju-si,Gyeongbuk-do,780-712,+82(561) 770-5114,http://www.gju.ac.kr/
6915,Gyeongnam National U. Science Technology,Korea (Republic of),Dongjinro 33,Jinju-si,Gyeongnam-do,660-758,+82(55) 751-3124  +82(55) 751-3114,http://www.gntech.ac.kr
6916,Gyeongsang National U.,Korea (Republic of),501 Jinju-daero,Gyeongnam,Gyeongnam-do,660-701,+82(55) 772-0114,http://www.gsnu.ac.kr/english
6917,Swedish School Sport Health Sciences,Sweden,Lidingovagen 1,Stockholm,,SE-114 86,+46(8) 120-537-00,http://www.gih.se/
6919,Imastaser Anania Shirakatsi U. Gyumri,Armenia,Sayat-Nova Street 1,Gyumri,Shirak Region,377500,+374(312) 39-394,
6920,Gyumri State Pedagogical Institute named after M. Nalbandian,Armenia,Paruir Sevak Street 4,Gyumri,Shirak Region,3126,+374(312) 694-94,http://www.gspi.am
6921,Gyumri Progress U.,Armenia,Tigran Mets Street 1,Gyumri,Shirak Region,3101,+374(312) 5-77-35  +374(312) 5-51-80,http://progress-hamalsaran.am
6922,HAAGA HELIA U. Applied Sciences,Finland,Ratapihantie 13,Helsinki,,00520,+358(9) 229-611,http://www.haaga-helia.fi
6923,Hague U. Applied Sciences,Netherlands,Stamkartplein 40,Den Haag,,2521 ED,+31(70) 445-8888,http://www.haagsehogeschool.nl
6925,Hacettepe U.,Turkey,Sihhiye,Ankara,,06230,+90(312) 305-50-00  +90(312) 3055050,http://www.hacettepe.edu.tr
6926,Hachinohe Gakuin U.,Japan,13-98 Mihono,Hachinohe-shi,Aomori,031-8588,+81(178) 25-2711,http://www.hachinohe-u.ac.jp
6927,Hachinohe Institute Technology,Japan,88-1 ObirakiMyo,Hachinohe,Aomori,031-8501,+81(178) 25-8111,http://www.hi-tech.ac.jp
6929,Hadhramout U. Science Technology,Yemen,PO Box 50511,Mukalla,,,+967(5) 303-535,http://www.hust.edu.ye
6930,Hadji Buto School Arts Trades,Philippines,Scott Road,Jolo,Sulu,7400,,
6933,U. Sea Transport,Korea (Democratic People's Republic of),,Rajin City,North Hamgyong Province,,,
6934,HafenCity U. Hamburg,Germany,Uberseeallee 16,Hamburg,,20457,+49(40) 42827-5355  +49(40) 42827-5065,http://www.hcu-hamburg.de
6935,Hagoromo U. International Studies,Japan,1-89-1 Hamaderaminamimachi,Sakai-shi,Osaka,592-8344,+81(72) 265-7000,http://www.hagoromo.ac.jp
6936,Armenian Medical Institute,Armenia,Titogradyan 14,Yerevan,,0087,+374(10) 451-923; +374(10) 470-844,http://www.armedin.com/
6937,Haikou College Economics,China,Guilin Yang universities,Haikou,Hainan,571127,+86(898) 65733552,http://www.hkc.edu.cn/
6938,Hainan Medical U.,China,"No. 3, College Road, Longhua District",Haikou City,Hainan Province,570102,+86(898) 66893760,http://www.hainmc.edu.cn/
6939,Hainan Normal U.,China,99 South Longkun Road,Haikou,Hainan Province,571158,+86(898) 65884843,http://www.hainnu.edu.cn
6940,Hainan U.,China,58 Renmin Road,Haikou,Hainan Province,570228,+86(898) 6259705,http://www.hainu.edu.cn
6941,Hajee Mohammad Danesh U. Science Technology,Bangladesh,,Dinajpur,,5200,+880(531) 65-429,http://www.hstu.ac.bd
6942,Hajvery U.,Pakistan,"43-52 Industrial Area, Gulberg III",Lahore,Punjab,,+92(42) 111-777-007,http://hup.edu.pk
6943,Hakkari U.,Turkey,,Hakkari,,,+90(438) 211-46-11,http://www.hakkari.edu.tr
6944,Hakodate U.,Japan,51-1 Takaoka-cho,Hakodate-shi,Hokkaido,042-0955,+81(138) 57-1181,http://www.hakodate-u.ac.jp
6945,Hakuoh U.,Japan,1117 Daigyoji,Oyama-shi,Tochigi,323-8585,+81(285) 22-1111,http://hakuoh.jp/english/index.html
6946,Halic U.,Turkey,Buyukdere Cad. No.101,Mecidiyekoy/Istanbul,,34394,+90(212) 275-20-20,http://www.halic.edu.tr
6947,International Oil Gas U.,Turkmenistan,"Archabil str., 8",Asghabad,,744000,+993(12) 48-97-29 +993(12) 39-13-00,http://www.tsogi.com/
6948,Halla U.,Korea (Republic of),28 Halla university-gil,Wonju-si,Gangwon-do,220-712,+82(33) 760-1114,http://www.halla.ac.kr
6950,Hallym U.,Korea (Republic of),1 Hallymdaehak-gil,Chuncheon-si,Gangwon-do,200-702,+82(33) 248-1000,http://www.hallym.ac.kr
6951,Hamadan U. Medical Sciences Health Services,Iran (Islamic Republic of),Shariaty Street,Hamadan,Hamadan,518,+98(81) 827-8810,http://www.umsha.ac.ir
6952,U. Hamamatsu,Japan,"1230, MiyakodachoKita-ku",Hamamatsu,Shizuoka,431-2102,+81(53) 428-3511,http://www.tokoha-u.ac.jp/
6953,Hamamatsu Gakuin U.,Japan,3-2-3 Nunohashi,Hamamatsu-shi,Shizuoka,432-8012,+81(53) 450-7000,http://www.hgu.ac.jp
6954,Hamamatsu U. School Medicine,Japan,1-20-1 HandayamaHigashi-ku,Hamamatsu-shi,Shizuoka,431-3192,+81(53) 435-2111,http://www.hama-med.ac.jp
6955,Hambuk U.,Korea (Democratic People's Republic of),Ranam District,Chongjin City,North Hamgyong Province,,,
6956,Hamburg School Business Administration,Germany,Adolphsplatz 1,Hamburg,,20457,+49(40) 36138-700,http://www.hsba.de
6957,Hamburg Distance Teaching U. Applied Sciences,Germany,Alter Teichweg 19-23a,Hamburg,,22081,+49(40) 35094-360,http://www.hamburger-fh.de
6958,Hamdan Bin Mohammed e U.,United Arab Emirates,P.O. Box: 71400,Dubai,,,+971(800) 333000,http://www.hbmeu.ae
6959,Hamdard U.,Pakistan,Sharae Madinat al-HikmahMuhammad Bin Qasim Avenue,Karachi,Sindh,74600,+92(21) 644-0035-42,http://www.hamdard.edu.pk
6960,Hame U. Applied Sciences,Finland,PO Box 230,Hameenlinna,,13100,+358(3) 6461,http://www.hamk.fi
6961,Hamelmalo Agricultural College,Eritrea,,Hamelmalo,Anseba,,,
6965,Sami Shamoon College Engineering,Israel,Basel/Bialik StreetsPO Box 45,Beer-Sheva,,84100,+972(1) 800-207-777 +972(8) 6475-601,http://www.sce.ac.il
6966,Hamilton College,United States of America ,198 College Hill Road,Clinton, New York,13323,+1(315) 859-4011,http://www.hamilton.edu
6967,Hamilton Technical College,United States of America ,1011 East 53rd Street,Davenport, Iowa,52807,+1(319) 386-3570,http://www.hamiltontechcollege.com
6968,Hamline U.,United States of America ,1536 Hewitt Avenue,Saint Paul, Minnesota,55104-1284,+1(651) 523-2800,http://www.hamline.edu
6969,Hampden Sydney College,United States of America ,P.O. Box 128College Road,Hampden-Sydney, Virginia,23943-0667,+1(804) 223-6000,http://www.hsc.edu
6970,Hampshire College,United States of America ,893 West Street,Amherst, Massachusetts,01002,+1(413) 549-4600,http://www.hampshire.edu
6971,Hampton U.,United States of America ,East Queen Street,Hampton, Virginia,23668-0199,+1(757) 727-5000,http://www.hamptonu.edu
6972,Hanazono U.,Japan,"8-1 Tsubonouchi-choNishinokyo, Nakagyo-ku",Kyoto-shi,Kyoto,604-8456,+81(75) 811-5181,http://www.hanazono.ac.jp
6973,Hanbat National U.,Korea (Republic of),"125 Dongseodaero, Yuseong-gu",Daejeon,Chungnam-do,305-719,+82(42  821-1114,http://www.hanbat.ac.kr
6974,Hanbuk U.,Korea (Republic of),233-1 Sangpae-dong,Dongducheon-si,Gyeonggi-do,483-777,+82(31) 860-1300  +82(31) 860-1359,http://www.hanbuk.ac.kr
6975,Handan College,China,Hanshan College Road 530,Handan,Hebei,056005,,http://www.hdc.edu.cn/
6976,Leipzig Graduate School Management,Germany,Jahnallee 59,Leipzig,,04109,+49(341) 985-160,http://www.hhl.de
6977,Stockholm School Economics,Sweden,Box 6501,Stockholm,,SE-113 83,+46(8) 736-90-00,http://www.hhs.se
6978,Copenhagen Business School,Denmark,Solbjerg Plads 3,Frederiksberg,,2000,+45 38-15-38-15,http://www.cbs.dk
6979,BI Norwegian Business School,Norway,Nydalsveien 37,Oslo,,0484,+47 46-41-00-00,http://www.bi.no
6981,Handong Global U.,Korea (Republic of),"3 Namsong-ri, Heunghae-eupBuk-gu",Pohang-si,Gyeongbuk,791-708,+82(54) 260-1763,http://www.handong.edu
6984,Hangzhou Dianzi U.,China,,Hangzhou,Zhejiang Province,310018,+86(571) 86915076,http://www.hdu.edu.cn/english/
6985,Hangzhou Normal U.,China,"No.58, Haishu RdCangqian, Yuhang District",Hangzhou,Zhejiang,311121,+86(571) 28869670  +86(571) 28868671,http://www.hznu.edu.cn/
6986,Hanken School Economics,Finland,PO Box 479Arkadiankatu 22,Helsinki,,00101,+358 (0)29 431 331,http://www.hanken.fi
6987,Hankou U.,China,Cultural Avenue No. 299,Wuhan,Jiangxia,,,http://www.hkxy.edu.cn/
6988,Hankuk U. Foreign Studies,Korea (Republic of),270 Imun-dong Dongdaemun-gu,Seoul,,130-791,+82(2) 2173-2114  +82(2) 2173-2063,http://www.hufs.ac.kr
6989,Hankyong National U.,Korea (Republic of),67 Sokjong-dong,Anseong-si,Gyeonggi-do,456-749,+82(31) 670-5114,http://www.hankyong.ac.kr
6990,Hanlyo U.,Korea (Republic of),"199-4 Duckrey-ri, Gwangyang-eup",Gwangyang-si,Jeollanam-do,545-704,+82(61) 761-6700  +82(61) 760-1114,http://www.hanlyo.ac.kr
6991,Hannam U.,Korea (Republic of),"133 Ojeong-dong, Daedeok-gu",Daejeon,Chungnam-do,306-791,+82(42) 629-7739,http://www.hannam.ac.kr
6992,Hannan U.,Japan,5-4-33 Amamihigashi Matsubara,Matsubara-shi,Osaka,580-8502,+81(72) 332-1224,http://www.hannan-u.ac.jp
6993,Hannibal Lagrange College,United States of America ,2800 Palmyra Road,Hannibal, Missouri,63401,+1(573) 221-3675,http://www.hlg.edu
6994,Hanover College,United States of America ,PO Box  108,Hanover, Indiana,47243-0108,+1(812) 866-7000,http://www.hanover.edu
6995,Hansei U.,Korea (Republic of),604-5 Dangjung-dong,Gunpo-si,Gyeonggi-do,435-742,+82(31) 450-5114  +82(31) 450-5138,http://www.hansei.ac.kr
6996,Hanseo U.,Korea (Republic of),46 Hanseo 1-roHaemi-myun,Seosan-si,Chungcheongnam-do,356-706,+82(41) 660-1704  +82(41) 660-1706,http://www.hanseo.ac.kr
6997,Hanshan Normal U.,China,Qiaodong,Chaozhou,Guangdong Province,521041,+86(768) 2523275 +86(768) 2525005,http://www.hstc.edu.cn
6998,Hanshin U.,Korea (Republic of),Hanshin road 137Yangsandong,Osan-si,Gyeonggi-do,447-791,+82(339) 370-6524,http://www.hs.ac.kr
6999,Hansung U.,Korea (Republic of),116 Samseongyoro-16-gilSeongbuk-gu,Seoul,,136-792,+82(2) 760-4114,http://www.hansung.ac.kr
7000,Hanyang U.,Korea (Republic of),222 Wangsimni-roSeongdong-gu,Seoul,,133-791,+82(2) 2290-0114,http://www.hanyang.ac.kr
7001,Hanze U. Applied Sciences Groningen,Netherlands,Zernikeplein 7,Groningen,,9747 AS,+31(50) 595-5555 +31(50) 595-5600,http://www.hanze.nl
7002,Hanzhong U.,Korea (Republic of),200 Jiyanggil,Donghae-si,Gangwon-do,240-713,+82(33) 520-9900,http://www.donghae.ac.kr
7003,Haramaya U.,Ethiopia,PO Box 138,Dire Dawa,Harrar,,+251(25) 553-0319,http://www.haramaya.edu.et
7006,Harbin Cambridge U.,China,"Ha Ping Road, No. 239XiangFang",Harbin,Heilongjiang,,+86(451) 86615811  +86(451) 86615811,http://www.jqu.net.cn/
7007,Harbin Engineering U.,China,"Wenmiao Street, Nangang District",Harbin,Heilongjiang Province,,+86(451) 2519213,http://www.hrbeu.edu.cn/
7008,Harbin Huade U.,China,Limin Development ZoneInstitute of Road 5,Harbin,,150025,+86(451) 88128600,http://www.hrbhuade.net/
7009,Harbin Institute Finance,China,Harbin Finance College,Harbin,Heilongjiang,,,http://www.hrbfu.edu.cn/
7011,Harbin Institute Technology,China,92 West Dazhi StreetNangang District,Harbin,Heilongjiang Province,150001,+86(451) 86413483,http://www.hit.edu.cn
7012,Harbin Medical U.,China,157 Baojian RoadNangang District,Harbin,Heilongjiang Province,150086,+86(451) 86669485,http://www.hrbmu.edu.cn
7013,Harbin Normal U.,China,50 HexingluNangang District,Harbin,Heilongjiang Province,150080,+86(451) 6315015,http://www.hrbnu.edu.cn
7014,Harbin U.,China,9 Xufusidaojie,Harbin,Heilongjiang Province,150086,+86(451) 6688516,http://www.hrbu.edu.cn
7015,Harbin U. Commerce,China,"No. 1 Xuehai Street, Songbei District",Harbin,Heilongjiang Province,150028,+86(451) 84892000,http://www.hljcu.edu.cn
7016,Harbin U. Science Technology,China,52 Xuefu Road,Harbin,Heilongjiang Province,150080,+86(451) 86390081 +86(451) 86390114,http://www.hrbust.edu.cn/
7017,Hardin Simmons U.,United States of America ,"2200 Hickory Street,",Abilene, Texas,79698,+1(915) 670-1000,http://www.hsutx.edu
7018,Harding U.,United States of America ,915 East Market Avenue,Searcy, Arkansas,72149-0773,+1(501) 279-4000,http://www.harding.edu
7019,Kharkiv State Academy Culture,Ukraine,ul. Bursatski Uzviz 4,Kharkiv,Kharkiv Region,61003,+380(572) 12-81-05,http://www.ic.ac.kharkov.ua
7020,Kharkiv State Zoo veterinary Academy,Ukraine,P/o 'Mala Danylivka',Derhaciv District,Kharkiv Region,62341,,http://www.zoovet.kh.ua/en/
7021,Kharkiv National U. Urban Economy named after O. M. Beketov,Ukraine,ul. Revolutsii 12,Kharkiv,Kharkiv Region,61002,+380(57) 707-31-09,http://www.kname.edu.ua/
7022,Kharkiv State U. Arts named after I.P. Kotljarevskogo,Ukraine,ul. Radjanska Ukraini 11/13,Kharkiv,Kharkiv Region,610003,+380(57) 731-1095,
7023,Kharkiv U. Humanities 'People's Ukrainian Academy',Ukraine,ul. Lermontovska 27,Kharkiv,Kharkiv Region,61000,+380(57) 714-20-07,http://www.nua.kharkov.ua/
7024,Kharkiv National Medical U.,Ukraine,4 Lenin Avenue,Kharkiv,Kharkiv Region,61022,+38(57) 705-07-11,http://www.knmu.kharkov.ua
7025,Kharkiv H. Skovoroda National Pedagogical U.,Ukraine,vul. Artema 29,Kharkiv,Kharkiv Region,61078,+380(572) 700-69-09,http://www.pu.ac.kharkov.ua
7026,Kharkiv National U. named after V.N. Karazin,Ukraine,"Maidan Svobody, 4",Kharkiv,Kharkiv Region,61077,+380(57) 705-12-47,http://www.univer.kharkov.ua
7027,Kharkiv National U. Radio Electronics,Ukraine,Lenina av. 14,Kharkiv,Kharkiv Region,61166,+380(57) 702-10-16,http://www.kture.kharkov.ua
7028,Kharkiv National U. Internal Affairs,Ukraine,"27, 50-years of USSR avenue",Kharkiv,Kharkiv Region,61080,+380(57) 7398-111,http://www.univd.edu.ua
7029,Harokopio U.,Greece,El. Venizelou 70Kallithea,Athinai,,176 71,+30(210) 9549-100,http://www.hua.gr
7030,Harper Adams U.,United Kingdom,Edgmond,Newport,,TF10 8NB,+44(1952) 820-280,http://www.harper-adams.ac.uk
7031,Harran U.,Turkey,Harran Universitesi RektorluguYenesehir Kampusu,Sanliurfa,,63300,+90(414) 318-30-00,http://www.harran.edu.tr
7032,Harrington College Design,United States of America ,200 West Madison Street2nd Floor,Chicago, Illinois,60606-3434,+1(312) 939-4975,http://www.interiordesign.edu
7033,Harris Memorial College,Philippines,G.K. Bunyi,Taytay,Rizal,1920,+63 658-2798,http://www.harris.edu.ph
7034,Harris Stowe State U.,United States of America ,3026 Laclede Avenue,Saint Louis, Missouri,63103,+1(314) 340-3300,http://www.hssu.edu/
7035,Harrisburg U. Science Technology,United States of America ,326 Market Street,Harrisburg, Pennsylvania,17101,+1(717) 901-5100,http://www.harrisburgu.net
7036,Edutus College,Hungary,Becsi ut 324.,Budapest,,1137,+36(1) 883-6437,http://www.edutus.hu
7038,Hartwick College,United States of America ,P.O. Box 4020One Hartwick Drive,Oneonta, New York,13820,+1(607) 431-4000,http://www.hartwick.edu
7039,Harvard U.,United States of America ,Massachusetts Hall,Cambridge, Massachusetts,02138,+1(617) 495-1000,http://www.harvard.edu
7041,Harvey Mudd College,United States of America ,301 Platt Boulevard,Claremont, California,91711-5901,+1(909) 621-8000,http://www.hmc.edu
7042,HAS U. Applied Sciences,Netherlands,Postbus 90108,'s-Hertogenbosch,Noord Brabant,5200 MA,+31(88) 890-3600,http://www.hasdenbosch.nl
7043,Hasan Kalyoncu U.,Turkey,Havalimani Yolu 8. Km Sahinbey,Gaziantep,,27410,+90(342) 211 80-80,http://www.hku.edu.tr
7044,Haskell Indian Nations U.,United States of America ,155 Indian Avenue,Lawrence, Kansas,66046-4800,+1(785) 749-8404,http://www.haskell.edu
7045,U. Iceland,Iceland,Saemundargotu 2,Reykjavik,,101,+354 525-4000,http://www.hi.is
7046,U. Akureyri,Iceland,Nordurslod 2,Akureyri,,600,+354 460-8000,http://www.unak.is
7047,Bifrost U.,Iceland,Nordurardalur,Borgarnes,,311,+354 433-3000,http://www.bifrost.is
7048,Reykjavik U.,Iceland,Ofanleiti 2,Reykjavik,,103,+354 510-6200,http://www.ru.is
7050,Hastings College,United States of America ,710 North Turner Avenue,Hastings, Nebraska,68901,+1(402) 463-2402,http://www.hastings.edu
7051,Haute Ecole Charlemagne,Belgium - French Community,"Rue des Rivageois, 6",Liege,,B4000,+32(4) 254-76-11,http://www.hech.be
